fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2024,69831000000,46209000000,23622000000,254453000000,11339000000,9285000000,169000000.0,7367000000,5794000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.08297174607266114,54.94082840236686,0.6240172320947766,1.9570245081118398,0.05020017334599025,False,False,False
2025,77099000000,47935000000,29164000000,275235000000,13335000000,10383000000,154000000.0,8099000000,5713000000.0,False,COST,909832,Retail,COSTCO WHOLESALE CORP /NEW,0.07409953436490746,67.42207792207792,0.550226331503419,2.334150183791353,0.08167323631476142,False,False,False
2021,25862624000,19201386000,6661238000,8414524000,3876159000,872224000,150385000.0,642743000,4130975000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.15972760536595204,5.799940153605745,4.736140028249624,0.9383157729107535,,False,False,False
2022,26327371000,20065385000,6261986000,34220449000,2865811000,3220675000,157526000.0,2399232000,4172068000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.1584688421794945,20.44535505249927,1.2954017403184115,0.6869041923573633,3.0668312313328716,False,False,False
2023,29083367000,23541595000,5541772000,37844863000,1984555000,3328302000,211273000.0,2415989000,,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,,15.753560559087058,,,0.10591368920963018,True,False,False
2024,30795591000,24046472000,6749119000,38691609000,2391798000,2446300000,326781000.0,1661274000,768645000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.024959579441095968,7.486053350715005,0.31420717001185466,3.1117069648537363,0.022374133049444467,False,False,False
2025,31132733000,23719026000,7413707000,40612308000,2996064000,1714074000,,1125253000,519463000.0,False,DG,29534,Retail,DOLLAR GENERAL CORPORATION,0.016685428805752453,,0.3030575109359339,5.767617712907368,0.04964122841208285,False,True,False
2021,97460000000,61332000000,36060000000,138639000000,8364000000,7559000000,798000000.0,6158000000,22756000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.23349066283603528,9.472431077694235,3.0104511178727345,0.3675514150114256,,False,False,False
2022,102755000000,66425000000,36243000000,156595000000,8399000000,8283000000,851000000.0,5894000000,23849000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.23209576176341784,9.73325499412456,2.879270795605457,0.35217409534990984,0.12951622559308706,False,False,False
2023,108928000000,69523000000,39306000000,171340000000,8061000000,8499000000,1030000000.0,5987000000,24895000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.22854546122209166,8.251456310679611,2.929168137427933,0.32379995983129145,0.09416009451131901,False,False,False
2024,116889000000,75463000000,41315000000,177011000000,5808000000,7862000000,,5980000000,30867000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.26407104175756485,,3.9261002289493767,0.1881621148799689,0.03309793393253191,False,True,False
2025,121494000000,77468000000,43882000000,199125000000,4290000000,7199000000,,5662000000,31896000000.0,False,ELV,1156039,Healthcare,"Elevance Health, Inc.",0.26253148303619933,,4.430615363244895,0.13449962377727614,0.12493008909050851,False,True,False
2021,4299000000,1256800000,3042200000,6010900000,770100000,1217400000,9700000.0,925000000,390000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.09071877180739707,125.50515463917526,0.32035485460818136,1.9746153846153847,,False,False,False
2022,4548600000,1385400000,3163200000,6980600000,941000000,1453600000,14300000.0,1086900000,555000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.12201556522886163,101.65034965034965,0.38181067694001103,1.6954954954954955,0.1613235954682326,False,False,False
2023,4462900000,1114100000,3348800000,7346700000,1432700000,1528700000,10800000.0,1155000000,260000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.058258083309059135,141.5462962962963,0.17007915222084125,5.510384615384615,0.052445348537375036,False,False,False
2024,4698000000,1081700000,3616300000,7546000000,1173300000,1510000000,,1150600000,200000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.04257130693912303,,0.13245033112582782,5.8665,0.027127826098792607,False,True,False
2025,5052900000,1109300000,3943600000,8200500000,1295900000,1655700000,,1258400000,125000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.024738269112786718,,0.075496768738298,10.3672,0.08673469387755106,False,True,False
2021,82777000000,58609000000,24168000000,83959000000,10135000000,5857000000,793000000.0,5231000000,19568000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.23639416746197614,7.385876418663304,3.3409595355984294,0.517937448896157,,False,False,False
